Dataset,Architecture,Activation,Acc,AUC,Params,Efficiency
FOREST_COVER,Light,Hybrid (Transfer),0.824 ± 0.003,0.904 ± 0.001,5825,0.240
FOREST_COVER,Light,ReLU,0.811 ± 0.004,0.894 ± 0.002,5825,0.237
FOREST_COVER,Light,GELU,0.810 ± 0.005,0.893 ± 0.002,5825,0.237
FOREST_COVER,Light,SiLU,0.801 ± 0.003,0.883 ± 0.002,5825,0.235
FOREST_COVER,Light,Hybrid (Specialist),0.786 ± 0.002,0.867 ± 0.001,5825,0.230
FOREST_COVER,Heavy,ReLU,0.834 ± 0.003,0.915 ± 0.001,31801,0.203
HIGGS,Light,ReLU,0.710 ± 0.002,0.784 ± 0.002,4161,0.217
HIGGS,Light,GELU,0.709 ± 0.001,0.781 ± 0.002,4161,0.216
HIGGS,Light,Hybrid (Specialist),0.707 ± 0.002,0.777 ± 0.002,4161,0.215
HIGGS,Light,SiLU,0.701 ± 0.001,0.770 ± 0.002,4161,0.213
HIGGS,Heavy,ReLU,0.718 ± 0.000,0.791 ± 0.000,26601,0.179
SPAMBASE,Light,Hybrid (Specialist),0.920 ± 0.003,0.967 ± 0.004,6017,0.256
SPAMBASE,Light,ReLU,0.919 ± 0.007,0.961 ± 0.007,6017,0.254
SPAMBASE,Light,GELU,0.920 ± 0.009,0.961 ± 0.008,6017,0.254
SPAMBASE,Light,SiLU,0.918 ± 0.006,0.959 ± 0.008,6017,0.254
SPAMBASE,Light,Hybrid (Transfer),0.832 ± 0.008,0.898 ± 0.006,6017,0.238
SPAMBASE,Heavy,ReLU,0.931 ± 0.008,0.978 ± 0.002,32401,0.217
